depth id strategy heuristic/moves solution_length visited processed max_depth solution_time(ms)
3 2 dfs drlu 17 393 372 20 8.218
3 2 dfs drul 17 132422 125811 20 248.233
3 2 dfs ludr 17 601 581 20 8.781
3 2 dfs lurd 19 85853 81965 20 166.118
3 2 dfs rdlu 3 8 4 3 6.872
3 2 dfs rdul 3 8 4 3 6.886
3 2 dfs uldr 19 132393 125786 20 240.814
3 2 dfs ulrd 19 137 121 20 7.34
3 3 astr hamm 3 9 4 3 6.241
3 3 astr manh 3 9 4 3 6.492
3 3 bfs drlu 3 68 33 3 5.509
3 3 bfs drul 3 68 33 3 5.186
3 3 bfs ludr 3 40 19 3 5.037
3 3 bfs lurd 3 37 18 3 4.947
3 3 bfs rdlu 3 65 32 3 5.101
3 3 bfs rdul 3 65 32 3 5.043
3 3 bfs uldr 3 40 19 3 5.027
3 3 bfs ulrd 3 37 18 3 5.194
3 3 dfs drlu 11 25 12 11 6.824
3 3 dfs drul 11 132070 125494 20 240.824
3 3 dfs ludr 17 541 522 20 8.447
3 3 dfs lurd 19 110280 104981 20 222.418
3 3 dfs rdlu 19 132342 125739 20 321.023
3 3 dfs rdul 19 109 89 20 6.886
3 3 dfs uldr 19 132382 125777 20 238.057
3 3 dfs ulrd 19 155 139 20 7.142
3 4 astr hamm 3 9 4 3 6.13
3 4 astr manh 3 9 4 3 6.503
3 4 bfs drlu 3 62 30 3 5.151
3 4 bfs drul 3 62 30 3 5.255
3 4 bfs ludr 3 34 16 3 4.853
3 4 bfs lurd 3 43 21 3 5.064
3 4 bfs rdlu 3 71 35 3 5.07
3 4 bfs rdul 3 71 35 3 6.113
3 4 bfs uldr 3 34 16 3 5.083
3 4 bfs ulrd 3 43 21 3 4.981
3 4 dfs drlu 19 114 95 20 7.011
3 4 dfs drul 19 132347 125745 20 239.245
3 4 dfs ludr 19 160 145 20 7.751
3 4 dfs lurd 19 132377 125773 20 247.279
3 4 dfs rdlu 3 9 4 3 8.053
3 4 dfs rdul 3 9 4 3 6.698
3 4 dfs uldr 17 132566 125949 20 241.74
3 4 dfs ulrd 17 515 495 20 9.175
3 5 astr hamm 3 9 5 3 6.446
